seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
4,16,4,0.55,0.65,inferred,4,QAOA,16340,0.9329427317423882,0.0,89,0.0015735829947516322,0.41122177446948555,1,256,5696,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,wrong,4,exact LNS,16340,0.9329427317423882,0.0,16,8.749775588512421e-07,,0,0,1024,0.09691061199128054,0.0,0.5
4,16,4,0.55,0.65,wrong,4,annealing,16340,0.9329427317423882,0.0,89,6.954208947718143e-05,,0,0,5696,0.09691061199128054,0.0,0.5
4,16,4,0.55,0.65,wrong,4,QAOA,16340,0.9329427317423882,0.0,88,0.0015653329901397228,0.5851028660416349,1,256,5632,0.09691061199128054,0.0,0.5
4,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,16340,0.9329427317423882,0.0,89,0.001654124935157597,0.41122177446948555,1,64,5696,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,16340,0.9329427317423882,0.0,89,0.0025853340048342943,0.4821578708850289,2,64,5696,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,16340,0.9329427317423882,0.0,89,0.0025476249866187572,0.4821578708850289,2,256,5696,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,16340,0.9329427317423882,0.0,89,0.0025487500242888927,0.4821578708850289,2,1024,5696,0.09691061199128054,0.0,0.75
4,16,4,0.55,0.65,inferred-noise,4,QAOA,16340,0.9329427317423882,0.0,89,0.0015492079546675086,0.37634959702253695,1,256,5696,0.09691061199128054,0.1,0.75
4,16,4,0.55,0.65,inferred-noise,4,QAOA,16340,0.9329427317423882,0.0,89,0.0016746249748393893,0.3240413308521142,1,256,5696,0.09691061199128054,0.25,0.75
4,16,4,0.55,0.65,inferred-noise,4,QAOA,16340,0.9329427317423882,0.0,89,0.0016019580652937293,0.23686088723474277,1,256,5696,0.09691061199128054,0.5,0.75
5,16,4,0.55,0.65,full,16,deployed,46487,2.147112072191585,0.0,0,0.0,,0,0,0,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,full,16,exact enumeration,46487,2.147112072191585,0.0,65536,0.0,,0,0,68719476736,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,full,16,MILP,46487,2.147112072191585,0.0,0,0.012814583024010062,,0,0,0,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,full,16,annealing,46487,2.147112072191585,0.0,89,8.512509521096945e-05,,0,0,93323264,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,full,16,QAOA,38347,2.533753161971314,0.12285583764116795,89,0.22760441701393574,0.001066747552059472,1,256,93323264,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,true,4,exact LNS,46487,2.147112072191585,0.0,16,2.1669548004865646e-06,,0,0,1024,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,true,4,annealing,46487,2.147112072191585,0.0,89,8.02080612629652e-05,,0,0,5696,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,true,4,QAOA,46487,2.147112072191585,0.0,89,0.0016557499766349792,0.30516433423941924,1,256,5696,0.1319714131207098,0.0,1.0
5,16,4,0.55,0.65,inferred,4,exact LNS,46487,2.147112072191585,0.0,16,9.58913005888462e-07,,0,0,1024,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,inferred,4,annealing,46487,2.147112072191585,0.0,89,7.283291779458523e-05,,0,0,5696,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,inferred,4,QAOA,46487,2.147112072191585,0.0,89,0.0015862910076975822,0.4989864429318837,1,256,5696,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,wrong,4,exact LNS,46487,2.147112072191585,0.0,16,9.579816833138466e-07,,0,0,1024,0.1319714131207098,0.0,0.5
5,16,4,0.55,0.65,wrong,4,annealing,46487,2.147112072191585,0.0,89,7.066596299409866e-05,,0,0,5696,0.1319714131207098,0.0,0.5
5,16,4,0.55,0.65,wrong,4,QAOA,46487,2.147112072191585,0.0,89,0.0016076670726761222,0.23021201507446865,1,256,5696,0.1319714131207098,0.0,0.5
5,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,46487,2.147112072191585,0.0,89,0.001595625071786344,0.4989864429318837,1,64,5696,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,46487,2.147112072191585,0.0,89,0.002637249999679625,0.514871603287931,2,64,5696,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,46487,2.147112072191585,0.0,89,0.002532541984692216,0.514871603287931,2,256,5696,0.1319714131207098,0.0,0.75
5,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,46487,2.147112072191585,0.0,89,0.002519999979995191,0.514871603287931,2,1024,5696,0.1319714131207098,0.0,0.75
