n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
5000,19,8,5,36,0.0072,0.00175,14988
5000,19,9,5,35,0.007,0.001959,14988
10000,0,0,10,74,0.0074,0.005042,29996
10000,0,1,10,70,0.007,0.003917,29996
10000,0,2,10,75,0.0075,0.003667,29996
10000,0,3,10,65,0.0065,0.003167,29996
10000,0,4,10,65,0.0065,0.003333,29996
10000,0,5,10,70,0.007,0.003542,29996
10000,0,6,10,70,0.007,0.003542,29996
10000,0,7,10,66,0.0066,0.003459,29996
10000,0,8,10,71,0.0071,0.003334,29996
10000,0,9,10,69,0.0069,0.003375,29996
10000,1,0,10,66,0.0066,0.006167,29992
10000,1,1,10,72,0.0072,0.004125,29992
10000,1,2,10,80,0.008,0.006042,29992
10000,1,3,10,69,0.0069,0.00375,29992
10000,1,4,10,71,0.0071,0.003542,29992
10000,1,5,10,65,0.0065,0.003292,29992
10000,1,6,10,62,0.0062,0.00375,29992
10000,1,7,10,66,0.0066,0.003291,29992
10000,1,8,10,66,0.0066,0.003333,29992
10000,1,9,10,68,0.0068,0.003291,29992
10000,2,0,10,76,0.0076,0.005667,29994
10000,2,1,10,71,0.0071,0.003875,29994
10000,2,2,10,72,0.0072,0.00375,29994
10000,2,3,10,65,0.0065,0.0035,29994
10000,2,4,10,66,0.0066,0.003083,29994
10000,2,5,10,67,0.0067,0.003292,29994
10000,2,6,10,74,0.0074,0.003167,29994
10000,2,7,10,68,0.0068,0.003125,29994
10000,2,8,10,72,0.0072,0.003083,29994
10000,2,9,10,69,0.0069,0.003041,29994
10000,3,0,10,64,0.0064,0.004666,29986
10000,3,1,10,72,0.0072,0.003875,29986
10000,3,2,10,70,0.007,0.003417,29986
10000,3,3,10,68,0.0068,0.003458,29986
10000,3,4,10,68,0.0068,0.003333,29986
10000,3,5,10,68,0.0068,0.003292,29986
10000,3,6,10,64,0.0064,0.003084,29986
10000,3,7,10,75,0.0075,0.003292,29986
10000,3,8,10,67,0.0067,0.00325,29986
10000,3,9,10,67,0.0067,0.00325,29986
10000,4,0,10,70,0.007,0.004583,29983
10000,4,1,10,68,0.0068,0.003833,29983
10000,4,2,10,64,0.0064,0.003375,29983
10000,4,3,10,75,0.0075,0.003292,29983
10000,4,4,10,68,0.0068,0.003417,29983
10000,4,5,10,65,0.0065,0.003292,29983
10000,4,6,10,70,0.007,0.003667,29983
10000,4,7,10,73,0.0073,0.003333,29983
10000,4,8,10,69,0.0069,0.003292,29983
10000,4,9,10,69,0.0069,0.003375,29983
10000,5,0,10,73,0.0073,0.004167,29991
10000,5,1,10,65,0.0065,0.003625,29991
10000,5,2,10,70,0.007,0.003291,29991
10000,5,3,10,70,0.007,0.003459,29991
10000,5,4,10,69,0.0069,0.00325,29991
10000,5,5,10,62,0.0062,0.003125,29991
10000,5,6,10,62,0.0062,0.003292,29991
10000,5,7,10,67,0.0067,0.003333,29991
10000,5,8,10,64,0.0064,0.003166,29991
10000,5,9,10,65,0.0065,0.003292,29991
10000,6,0,10,67,0.0067,0.005417,29989
10000,6,1,10,77,0.0077,0.005,29989
10000,6,2,10,68,0.0068,0.003625,29989
10000,6,3,10,68,0.0068,0.00325,29989
10000,6,4,10,67,0.0067,0.003458,29989
10000,6,5,10,64,0.0064,0.003208,29989
10000,6,6,10,71,0.0071,0.003291,29989
10000,6,7,10,65,0.0065,0.00325,29989
