n,seed,context,policy,action,utility,deadline_miss,infeasible
12,9,3,P1,local-sim,-0.12772901550093815,0,0
12,9,3,utility-only,local-sim,-0.12772901550093815,0,0
12,9,3,logged-IPW,local-sim,-0.12772901550093815,0,0
12,9,3,LinUCB,local-sim,-0.12772901550093815,0,0
12,9,3,Pareto,local-sim,-0.12772901550093815,0,0
12,9,3,oracle,local-sim,-0.12772901550093815,0,0
12,9,3,train-selected fixed,local-sim,-0.12772901550093815,0,0
12,9,3,always invoke-QPU,invoke-QPU,-0.13841944087913075,0,0
12,9,3,always remote-sim,remote-sim,-0.19777448748370147,0,0
12,9,3,always local-sim,local-sim,-0.12772901550093815,0,0
12,9,3,always fallback,fallback,-0.21147717061455548,0,0
12,9,4,P1,local-sim,-0.11294519931494428,0,0
12,9,4,utility-only,local-sim,-0.11294519931494428,0,0
12,9,4,logged-IPW,local-sim,-0.11294519931494428,0,0
12,9,4,LinUCB,remote-sim,-0.259499268022408,0,0
12,9,4,Pareto,local-sim,-0.11294519931494428,0,0
12,9,4,oracle,local-sim,-0.11294519931494428,0,0
12,9,4,train-selected fixed,local-sim,-0.11294519931494428,0,0
12,9,4,always invoke-QPU,invoke-QPU,-0.13958201150379254,0,0
12,9,4,always remote-sim,remote-sim,-0.259499268022408,0,0
12,9,4,always local-sim,local-sim,-0.11294519931494428,0,0
12,9,4,always fallback,fallback,-0.19037749949046343,0,0
12,9,5,P1,local-sim,-0.0988162612476553,0,0
12,9,5,utility-only,local-sim,-0.0988162612476553,0,0
12,9,5,logged-IPW,local-sim,-0.0988162612476553,0,0
12,9,5,LinUCB,local-sim,-0.0988162612476553,0,0
12,9,5,Pareto,local-sim,-0.0988162612476553,0,0
12,9,5,oracle,local-sim,-0.0988162612476553,0,0
12,9,5,train-selected fixed,local-sim,-0.0988162612476553,0,0
12,9,5,always invoke-QPU,invoke-QPU,-0.16541068960326327,0,0
12,9,5,always remote-sim,remote-sim,-0.12056921539343018,0,0
12,9,5,always local-sim,local-sim,-0.0988162612476553,0,0
12,9,5,always fallback,fallback,-0.19869136326581704,0,0
12,9,6,P1,local-sim,-0.1003681794701734,0,0
12,9,6,utility-only,local-sim,-0.1003681794701734,0,0
12,9,6,logged-IPW,local-sim,-0.1003681794701734,0,0
12,9,6,LinUCB,local-sim,-0.1003681794701734,0,0
12,9,6,Pareto,local-sim,-0.1003681794701734,0,0
12,9,6,oracle,local-sim,-0.1003681794701734,0,0
12,9,6,train-selected fixed,local-sim,-0.1003681794701734,0,0
12,9,6,always invoke-QPU,invoke-QPU,-0.11252765382692871,0,0
12,9,6,always remote-sim,remote-sim,-0.22747057084227534,0,0
12,9,6,always local-sim,local-sim,-0.1003681794701734,0,0
12,9,6,always fallback,fallback,-0.20093173231777062,0,0
12,9,7,P1,local-sim,-0.10080639150706713,0,0
12,9,7,utility-only,local-sim,-0.10080639150706713,0,0
12,9,7,logged-IPW,local-sim,-0.10080639150706713,0,0
12,9,7,LinUCB,invoke-QPU,-0.11604565356047701,0,0
12,9,7,Pareto,local-sim,-0.10080639150706713,0,0
12,9,7,oracle,local-sim,-0.10080639150706713,0,0
12,9,7,train-selected fixed,local-sim,-0.10080639150706713,0,0
12,9,7,always invoke-QPU,invoke-QPU,-0.11604565356047701,0,0
12,9,7,always remote-sim,remote-sim,-0.28092078730046655,0,0
12,9,7,always local-sim,local-sim,-0.10080639150706713,0,0
12,9,7,always fallback,fallback,-0.20597607313780233,0,0
